พระสุตตันตปิฎก~~0001
ขุททกนิกาย  ชาดก~~0001
ว่าด้วยความเศร้าโศกเพราะได้ใหม่ลืมเก่า~~0402
อรรถกถาธูมการิชาดกที่  ๘~~0403
๙. ชาครชาดก~~0409
ว่าด้วยผู้หลับและผู้ตื่น~~0409
อรรถกถาชาครชาดกที่  ๙~~0411
๑๐. กุมมาสปิณฑชาดก~~0417
ว่าด้วยอานิสงส์ถวายขนมกุมมาส~~0417
อรรถกถากุมมาสปิฑชาดกที่  ๑๐~~0420
๑๑.  ปรันตปชาดก~~0440
ว่าด้วยลางบอกความชั่วและภัยที่จะมาถึง~~0440
อรรถกถาปรันตปชาดกที่  ๑๑~~0441
อัฏฐกนิบาตชาดก~~0454
๑.  กัจจานิวรรค~~0454
๑.  กัจจานิชาดก~~0454
ว่าด้วยในกาลไหน  ๆ  ธรรมย่อมไม่ตาย~~0454
อรรถกถากัจจานิโคตตชาดกที่  ๑~~0457
๒.  อัฏฐสัททชาดก~~0469
ว่าด้วยพระนิพพาน~~0469
อรรถกถาอัฏฐสัททชาดกที่  ๒~~0471
๓.  สุลสาชาดก~~0485
ว่าด้วยผู้รอบรู้เหตุผลย่อมรอดพ้นศัตรู~~0485
อรรถกถาสุลสาชาดกที่  ๓~~0487
๔.  สุมังคลชาดก~~0495
ว่าด้วยคุณธรรมของกษัตริย์~~0495
อรรถกถาสุมังคลชาดกที่  ๔~~0498
๕.  คังคมาลชาดก~~0510
ว่าด้วยกามทั้งหลายเกิดจากความดำริ~~0510
อรรถกถาคังคมาลชาดกที่  ๕~~0512
๖.  เจติยราชชาดก~~0531
ว่าด้วยเชฏฐาปจายนธรรม~~0531
อรรถกถาเจติยราชชาดกที่  ๖~~0535
๗.  อินทริยชาดก~~0552
ว่าด้วยดี  ๔  ชั้น~~0552
อรรถกถาอินทริยชาดกที่  ๗~~0554
๘.   อาทิตตชาดก~~0571
ว่าด้วยการให้ทานกับการรบ~~0571
อรรถกถาอาทิตตชาดกที่  ๘~~0573
๙.   อัฏฐานชาดก~~0585
ว่าด้วยสิ่งที่เป็นไปไม่ได้~~0585
อรรถกถาอัฏฐานชาดกที่  ๙~~0587
๑๐.  ทีปิชาดก~~0596
ว่าด้วยคนร้ายไม่ต้องการเหตุผล~~0596
อรรถกถาทีปิชาดกที่  ๑๐~~0598
นวกนิบาตชาดก~~0605
๑.  คิชฌชาดก~~0605
ว่าด้วยผู้ไม่ทำตามคำสอนย่อมพินาศ~~0605
อรรถกถาคิชฌชาดกที่   ๑~~0607
๒.   โกสัมพิยชาดก~~0614
ว่าด้วยอยู่คนเดียวดีกว่าร่วมกับคนพาล~~0614
อรรถกถาโกสัมพิยชาดกที่  ๒~~0616
๓.  มหาสุวราชชาดก~~0627
ว่าด้วยสหายย่อมไม่ละทิ้งสหาย~~0627
อรรถกถามหาสุวราชชาดกที่  ๓~~0630
๔.   จุลลสุวกราชชาดก~~0639
ว่าด้วยผู้รักษาไมตรี~~0639
อรรถกถาจุลลสุวกราชชาดกที่  ๔~~0641
๕.   หริตจชาดก~~0647
ว่าด้วยกิเลสที่มีกำลังเกล้า~~0647
อรรถกถาหริตจชาดกที่  ๕~~0649
๖.  ปทุกสลมาณวชาดก~~0659
ว่าด้วยภัยที่เกิดแต่ที่พึ่งอาศัย~~0659
อรรถกถาปทกุสลชาดกที่  ๖~~0661
๗.   โลมกัสสปชาดก~~0684
ว่าด้วยตบะเป็นคุณธรรมอันประเสริฐ~~0684
อรรถกถาโลมสกัสสปชาดกที่  ๗~~0686
๘.   จักกวากชาดก~~0697
ว่าด้วยความเป็นอยู่ของนกจักรพราก~~0697
อรรถกถาจักกวากชาดกที่  ๘~~0700
๙.  หลิททราคชาดก~~0710
ว่าด้วยลักษณะของผู้ที่จะคบ~~0710
อรรถกถาหลิททราคชาดกที่  ๙~~0712
๑๐. สมุคคชาดก~~0718
ว่าด้วยเปรียบหญิงมีอาการคล้ายก้นเหว~~0718
อรรถกถาสมุคคชาดกที่  ๑๐~~0721
๑๑.  ปูติมังสชาดก~~0730
ว่าด้วยโทษของการมองในเวลาที่ไม่ควรมอง~~0730
อรรถกถาปูติมังสชาดกที่  ๑๑~~0732
๑๒.  ทัททรชาดก~~0742
ว่าด้วยคนอกตัญญู   ไม่รู้จักบุญคุณคนอื่น~~0742
อรรถกถาติตติรชาดกที่  ๑๒~~0744
ทสกนิบาตชาดก~~0757
๑.   จตุทวารชาดก~~0757
ว่าด้วยจักกรดพัดบนศีรษะ~~0757
อรรถกถาจตุทวารชาดกที่  ๑~~0759
๒.  กัณหชาดก~~0771
ว่าด้วยขอพร~~0771
อรรถกถากัณหชาดกที่  ๒~~0774
๓.  จตุโปสถิกชาดก~~0793
ว่าด้วยสมณะ~~0793
อรรถกถาจตุโปสถิกชาดกที่  ๓~~0798
๔.   สังขชาดก~~0799
ว่าด้วยอานิสงส์ถวายรองเท้า~~0799
อรรถกถาสังขพราหณชาดกที่  ๔~~0802
๕.  จุลลโพธิชาดก~~0815
ว่าด้วยความโกรธ~~0815
อรรถกถาจุลลโพธิชาดกที่  ๕~~0818
๖.  มัณฑัพยชาดก~~0831
ว่าด้วยความรักที่มีต่อบุตร~~0831
อรรถกถากัณหทีปายนชาดกที่  ๖~~0834
๗.  นิโครธชาดก~~0851
ว่าด้วยการคบหากับคนดี~~0851
อรรถกถานิโครธชาดกที่  ๗~~0853
๘.  ตักกลชาดก~~0865
ว่าด้วยการเลี้ยงดูบิดามารดา~~0865
อรรถกถาตักกลชาดกที่  ๘~~0868
๙.   มหาธัมมปาลชาดก~~0879
ว่าด้วยเหตุที่ไม่ตายในวัยหนุ่ม~~0879
อรรถกถามหาธัมมปาลชาดกที่  ๙~~0882
๑๐.  กุกกุฏชาดก~~0893
ว่าด้วยพ้นศัตรูเพราะรู้เท่านั้น~~0893
อรรถกถากุกกุฏชาดกที่  ๑๐~~0895
๑๑.  มัฏฐกุณฑลิชาดก~~0903
ว่าด้วยคนร้องไห้ถึงคนตายเป็นคนโง่เขลา~~0903
อรรถกถามัฏฐกุณฑลิชาดกที่  ๑๑~~0905
๑๒.  พิลารโกสิยชาดก~~0913
ว่าด้วยให้ทานไม่ได้เพราะเหตุ  ๒  อย่าง~~0913
อรรถกถาพิลารโกสิยชาดกที่  ๑๒~~0916
๓.  จักวากชาดก~~0931
ว่าด้วยนกจักรพราก~~0931
อรรถกถาจักกวากชาดกที่  ๑๓~~0933
๑๔.  ภูริปัญหาชาดก~~0939
ว่าด้วยคนไม่ดี  ๔  จำพวก~~0939
อรรถกถาภูริปัญหาชาดกที่  ๑๔~~0942
๑๕.  มหามังคลชาดก~~0943
ว่าด้วยมงคล~~0943
อรรถกถามหามังคลชาดกที่  ๑๕~~0946
๑๖.  ฆตบัณฑิตชาดก~~0961
ว่าด้วยการดับความโศก~~0961
อรรถกถาฆตบัณฑิตชาดกที่  ๑๖~~0964
